38	28	52
22	28	87
31	27	67
19	28	46
24	28	38
17	33	53
3	24	54
20	30	72
2	34	81
39	28	60
32	25	53
16	25	50
21	34	81
33	33	54
41	32	42
35	28	81
30	32	54
4	34	75
34	29	65
0	34	46
7	29	89
1	29	78
27	36	75
40	36	88
23	34	66
5	39	60
36	41	83
14	42	64
18	44	59
8	47	57
24	46	78
6	46	78
41	47	67
28	44	79
30	56	79
13	59	69
29	50	65
8	58	69
17	59	80
26	61	73
37	50	74
18	70	99
9	67	86
25	63	82
29	68	83
41	72	83
26	74	84
3	75	92
5	77	94
0	69	96
16	80	92
1	81	91
29	88	99
4	89	99
32	98	108
41	99	109
33	102	118
7	109	119
3	115	145
20	113	144
41	128	139
26	137	147
30	197	211
22	222	233
9	224	255
16	229	245
21	239	260
33	253	344
34	258	290
22	255	275
26	263	273
16	261	275
29	261	279
14	269	279
40	268	341
31	274	286
20	268	323
5	273	300
37	275	302
8	264	332
39	270	300
21	279	300
16	282	293
3	282	292
19	260	290
7	283	383
18	261	301
36	286	374
34	291	301
24	289	362
41	290	349
6	279	299
22	290	314
35	293	341
15	294	311
13	292	305
1	292	304
0	290	303
28	296	367
10	296	312
38	298	314
31	298	315
16	300	367
3	298	347
9	298	350
12	292	375
39	301	349
18	302	322
26	298	359
17	297	315
2	304	321
34	304	314
14	303	358
6	303	338
1	306	352
4	303	360
29	306	366
0	309	356
37	309	356
30	311	350
21	311	336
17	316	365
23	314	359
22	321	335
10	316	358
11	306	359
34	319	330
32	321	366
31	319	365
27	314	338
2	323	369
15	323	353
18	325	367
5	320	351
25	321	396
13	310	340
34	335	360
38	332	362
22	336	346
19	338	383
27	342	367
8	338	360
40	342	355
20	343	367
13	342	356
37	359	373
5	357	378
15	364	374
1	371	381
39	360	377
17	367	377
34	372	382
6	356	384
28	376	394
15	385	395
27	380	395
22	378	399
32	391	402
40	392	402
1	402	412
31	400	412
34	397	441
12	408	419
1	414	429
13	411	425
36	420	449
33	419	435
8	430	454
3	428	442
14	428	440
31	425	437
35	428	440
28	434	449
26	436	448
3	447	467
11	455	465
5	458	468
36	459	469
15	453	470
18	458	470
29	461	473
26	472	482
27	480	490
18	479	489
0	483	498
26	488	500
3	487	497
28	491	508
2	491	562
31	498	508
36	497	513
27	497	527
11	503	513
16	505	530
24	505	543
10	492	542
40	509	521
3	510	540
0	517	527
4	516	526
5	509	526
9	514	547
12	513	525
30	517	528
11	517	540
18	510	530
29	520	544
15	517	527
26	521	561
38	524	557
37	518	540
40	532	546
18	538	572
17	529	553
32	541	564
20	538	551
10	544	566
27	536	571
11	541	554
5	543	567
12	543	556
30	543	558
3	541	554
23	542	569
37	542	557
24	551	571
8	522	566
34	548	563
29	551	575
13	552	580
1	556	583
0	555	578
11	556	567
21	556	570
17	560	592
16	544	572
8	569	589
30	569	581
10	567	588
0	583	608
30	584	600
33	584	613
11	590	615
38	593	612
10	591	609
37	588	616
21	586	602
17	596	619
13	595	613
39	596	606
2	600	619
3	602	619
5	600	613
12	605	615
23	606	616
41	599	619
24	606	618
8	608	618
21	608	618
20	608	619
26	608	619
12	29	39
10	33	43
25	36	46
11	44	54
12	46	58
10	50	60
19	50	67
16	52	64
38	59	69
32	60	70
39	69	79
34	70	90
8	74	84
12	76	86
14	76	86
38	75	85
13	83	93
12	90	100
40	90	100
6	111	121
26	93	103
7	95	108
29	100	110
30	108	122
36	104	114
5	107	117
34	109	119
38	115	125
27	112	122
23	114	124
21	115	125
1	115	125
16	119	129
40	118	128
2	119	129
33	121	135
15	123	133
27	124	134
36	128	138
6	130	140
34	131	141
2	135	146
32	138	148
29	139	149
39	140	150
23	146	156
27	150	162
22	147	157
41	146	156
16	149	159
11	150	161
5	151	161
32	157	167
31	159	169
1	159	169
22	170	181
28	162	172
34	164	174
15	172	182
14	165	175
23	166	176
11	165	175
38	168	182
16	180	190
2	180	190
27	185	195
33	196	212
21	191	201
16	192	202
17	194	204
29	195	205
37	199	209
39	199	209
31	200	210
12	205	215
25	204	214
19	206	216
0	209	219
18	208	218
20	211	225
31	212	222
34	212	222
3	213	231
21	214	224
30	215	225
6	216	226
12	220	233
11	222	232
36	221	231
31	224	234
34	226	236
25	226	236
27	227	237
28	234	244
32	231	244
35	230	240
17	231	241
8	232	242
19	235	245
11	236	250
25	242	252
1	243	253
8	243	258
37	244	254
14	245	255
39	245	268
4	244	254
13	248	261
35	249	260
28	250	260
15	256	266
9	258	268
4	261	276
36	270	280
37	264	274
21	265	275
30	266	276
38	266	279
28	268	292
2	267	277
15	273	286
0	269	289
32	272	300
10	280	290
27	279	291
17	284	294
27	296	306
19	302	312
5	303	313
25	306	316
21	341	351
6	341	351
3	352	362
9	353	363
30	359	376
10	359	369
35	361	371
32	373	386
40	369	382
9	364	374
20	368	378
38	368	378
11	369	379
4	372	386
39	385	395
2	383	393
33	385	398
36	389	399
35	391	401
27	446	466
5	396	406
37	393	403
11	394	404
15	400	410
27	401	412
16	406	416
21	408	418
7	410	420
5	411	421
25	413	423
22	414	437
32	416	426
37	418	428
29	419	429
12	427	437
0	424	438
7	424	434
15	424	434
39	427	437
32	429	439
18	429	439
30	430	440
17	442	452
19	442	452
33	449	461
9	444	454
0	444	454
14	446	456
35	446	456
30	454	464
32	454	464
10	455	476
9	466	478
39	468	478
23	471	481
8	482	492
4	479	489
20	481	497
9	482	492
21	482	492
11	484	494
36	484	494
31	486	496
33	489	499
37	491	501
23	495	505
6	495	505
5	495	505
35	499	512
19	499	509
4	500	510
26	505	515
8	508	518
19	510	526
34	511	521
1	510	520
32	513	524
39	517	527
33	518	537
20	519	529
6	521	531
35	526	536
14	526	544
