29	34	53
17	23	31
19	25	33
37	26	45
40	33	41
13	32	40
0	30	38
10	32	40
30	40	48
28	39	52
25	39	47
20	39	47
27	88	96
7	40	48
23	41	49
38	41	49
35	41	49
9	42	52
5	42	57
14	44	52
1	44	57
19	44	52
31	44	57
21	47	69
12	47	55
16	48	56
8	49	68
30	51	59
22	49	57
41	49	57
0	54	66
40	67	81
38	52	60
32	53	61
39	53	67
7	54	62
35	56	65
23	56	64
4	57	74
17	60	68
34	60	68
24	60	79
14	61	69
20	62	70
26	62	70
11	64	72
25	64	76
38	64	83
13	66	74
3	66	75
32	66	74
7	68	85
36	67	89
18	68	76
28	68	76
33	70	78
39	70	84
14	78	86
4	79	87
9	79	87
32	80	88
25	80	88
16	85	99
32	93	103
20	88	96
4	91	99
23	91	99
26	91	109
9	91	99
31	94	103
33	95	105
1	96	104
21	98	106
30	102	110
12	103	111
9	105	113
20	107	115
1	107	115
33	109	119
10	108	124
32	110	118
23	110	118
35	111	119
21	113	121
25	116	124
40	117	125
17	119	127
4	119	127
36	121	138
15	122	130
26	126	134
38	124	132
23	128	140
6	123	131
12	125	133
29	124	132
35	125	133
20	133	141
17	130	138
14	127	135
3	129	137
7	137	145
14	138	146
34	133	142
25	133	142
2	134	142
11	134	142
27	137	145
38	137	145
22	140	162
9	198	215
3	144	152
30	145	160
14	160	168
7	159	167
23	159	167
28	162	170
7	173	184
19	170	178
6	167	175
17	172	180
13	176	184
25	176	184
9	182	191
10	181	189
8	182	190
40	182	190
15	186	194
1	186	194
28	186	201
23	196	213
11	189	197
25	188	196
39	190	206
24	196	204
11	206	238
34	202	210
37	200	209
20	199	207
8	202	210
17	202	210
21	203	211
40	203	211
35	205	215
22	208	216
5	208	226
23	217	225
20	214	229
7	214	222
30	214	222
18	216	224
26	220	228
13	216	224
27	217	225
39	219	227
34	224	232
28	225	233
19	226	234
12	226	246
36	227	239
40	228	236
15	235	261
2	232	240
34	236	244
17	236	244
18	241	254
28	237	245
7	255	263
23	239	247
27	239	247
19	294	313
35	239	247
5	250	267
33	242	250
31	246	254
34	248	256
25	249	257
11	251	259
28	251	259
35	253	266
2	277	341
13	253	261
3	254	262
27	255	263
36	256	264
24	256	264
38	257	277
39	261	280
17	258	266
16	259	280
40	263	271
1	261	278
32	261	272
14	260	268
7	281	325
33	264	272
12	264	272
37	265	281
15	267	275
7	267	275
9	275	296
23	272	283
31	269	289
35	269	295
16	295	331
17	280	290
25	269	277
28	271	279
27	271	280
11	271	285
29	276	285
21	276	293
30	282	299
24	282	295
8	278	286
26	278	286
0	281	289
36	281	289
18	282	290
28	284	292
40	284	292
39	297	307
15	287	295
6	286	294
8	290	300
36	292	328
37	291	299
40	295	303
12	291	303
4	297	308
10	296	348
22	297	328
29	305	315
14	323	363
15	298	314
28	299	342
38	297	324
6	299	307
13	314	342
1	307	331
27	298	306
34	300	342
5	302	315
40	306	331
17	307	339
6	349	367
37	308	362
21	303	342
23	303	311
2	352	365
26	306	331
11	307	324
31	306	314
30	308	339
14	309	317
12	309	345
8	310	360
20	311	351
33	310	319
4	312	320
35	312	331
24	313	357
38	327	361
39	314	328
15	330	353
5	318	354
33	328	348
33	361	372
3	316	335
31	319	348
32	320	337
15	319	327
29	321	355
6	321	337
9	321	329
18	322	341
27	321	340
41	322	339
4	324	337
26	334	364
11	334	373
23	325	373
0	327	335
36	334	348
7	331	352
39	332	367
22	333	341
35	334	349
3	342	351
40	335	360
1	337	345
16	391	399
19	341	355
25	340	348
16	340	350
4	346	365
34	348	365
13	346	361
22	344	352
18	348	367
32	345	383
12	349	359
9	356	366
0	350	360
41	352	360
16	356	364
10	352	360
1	355	365
30	355	369
28	356	372
21	358	366
22	358	367
3	358	375
7	361	369
27	362	372
19	362	370
24	362	370
10	363	379
17	364	380
20	369	377
25	372	386
18	373	381
39	374	383
41	375	383
7	375	383
14	376	384
40	379	395
3	381	389
8	381	393
22	381	389
37	385	393
35	388	396
11	391	399
41	392	400
9	392	400
32	394	402
38	395	403
1	395	411
21	407	416
13	399	412
18	397	408
28	395	403
10	397	408
3	401	409
36	401	409
22	419	430
24	410	418
30	406	422
16	407	415
20	413	425
35	409	417
17	412	420
14	414	422
11	432	446
18	422	430
9	418	426
26	420	428
10	419	427
39	420	428
23	458	475
5	421	429
33	422	430
30	428	436
21	427	435
7	427	435
17	428	436
0	428	438
16	434	442
1	431	439
4	432	440
37	432	444
9	436	444
33	437	445
2	439	457
8	439	457
1	442	452
39	442	450
20	442	450
36	445	453
4	445	453
9	450	458
10	452	460
27	453	461
7	456	464
3	454	462
5	454	462
0	461	472
14	455	463
18	456	464
8	460	468
16	459	478
1	460	468
21	461	485
15	468	481
18	474	482
41	474	482
11	476	493
4	478	486
22	483	491
2	479	487
40	479	488
8	488	496
19	480	488
16	482	507
6	483	496
26	484	492
20	490	504
18	491	506
19	491	499
13	495	503
32	496	504
34	499	524
11	500	508
14	500	508
39	501	509
35	507	519
10	504	512
33	504	512
38	503	511
13	506	514
15	513	521
40	509	539
29	509	517
20	512	520
24	511	519
0	512	520
8	514	531
41	515	529
31	519	527
27	517	525
10	519	527
3	519	539
39	521	548
25	521	529
4	524	532
26	525	533
24	527	535
16	527	538
18	528	536
14	533	547
39	558	581
29	529	537
30	530	538
35	531	549
7	534	551
9	531	539
37	533	547
17	533	541
20	534	542
36	535	543
28	535	543
0	535	543
23	543	551
41	537	553
22	541	567
33	538	546
21	539	547
25	541	549
12	544	552
6	545	553
3	544	552
10	546	554
13	546	554
27	546	558
28	548	556
31	548	577
18	550	558
40	551	559
24	551	559
30	551	559
21	552	560
5	554	562
25	554	565
9	558	572
34	553	561
2	556	565
35	554	562
7	559	569
15	559	567
8	559	567
36	559	567
20	559	567
38	561	583
17	562	570
